Viewport width,Screen density,Pageviews
2311,1,1
2314,2,1
2316,1,1
2319,1,1
2319,2,1
2322,1,1
2325,1,1
2330,1,1
2335,1,1
2337,1,1
2341,1,1
2343,1,1
2346,1,1
2347,1.091,1
2357,1,1
2359,1,1
2360,2,1
2364,1,1
2365,2,1
2370,1,1
2371,2,1
2373,2,1
2375,1.25,1
2376,1,1
2380,1,1
2385,2,1
2389,1,1
2391,2,1
2394,1,1
2398,1,1
2400,1,1
2402,1,1
2403,1,1
2408,1,1
2410,2,1
2418,1,1
2430,1,1
2433,1,1
2433,2,1
2441,1,1
2447,1,1
2458,1,1
2461,1,1
2463,1,1
2470,1,1
2470,2,1
2473,2,1
2481,1,1
2485,1,1
2492,1,1
2504,1,1
2506,1,1
2508,1,1
2510,1,1
2512,2,1
2513,1,1
2513,2,1
2514,1,1
2525,2,1
2528,2,1
2534,2,1
2536,1,1
2538,1,1
2539,1,1
2539,2,1
2541,1.5,1
2545,2,1
2548,1,1
2549,1,1
2551,1,1
2552,2,1
2553,1,1
2554,1,1
2555,2,1
2556,2,1
2559,1.5,1
2563,1.5,1
2564,1,1
2564,2,1
2566,1.5,1
2579,2,1
2597,1,1
2599,2,1
2609,1,1
2621,1,1
2669,2,1
2677,1,1
2686,2,1
2704,2,1
2713,1,1
2717,1,1
2721,1,1
2727,1,1
2738,1,1
2811,1,1
2831,2,1
2859,0.896,1
2891,1,1
2943,2,1
2955,1,1
2966,2,1
300,2,1
3072,1.25,1
3200,2,1
3323,1.156,1
3359,2,1
3377,1,1
3424,1,1
346,3.125,1
361,1.331,1
3773,1,1
3810,0.667,1
3839,1,1
396,2.727,1
400,1,1
400,2.7,1
4072,1,1
412,1,1
438,3,1
470,2,1
480,1.5,1
484,1,1
523,1,1
559,2,1
562,1,1
576,2,1
581,1,1
592,2,1
599,2,1
600,1,1
601,2,1
614,2,1
638,2,1
673,2,1
692,2,1
694,2,1
698,2,1
699,1,1
701,2,1
716,2,1
717,2,1
720,1,1
723,2,1
728,1,1
731,1,1
732,2.625,1
736,3,1
743,2,1
745,1,1
751,1,1
752,1,1
758,1,1
761,1,1
768,1,1
768,1.25,1
769,1,1
771,1,1
776,1.25,1
779,2,1
784,1,1
789,1,1
793,1,1
794,1,1
799,1,1
802,1,1
815,2,1
816,1,1
818,1,1
820,1,1
822,1,1
823,1,1
823,2.5,1
834,1,1
836,1,1
838,1,1
838,2,1
840,1,1
850,1.5,1
852,1.5,1
855,1,1
856,1,1
856,2,1
857,2,1
859,2,1
860,2,1
862,2,1
863,2,1
866,2,1
867,1,1
869,1,1
873,1,1
877,1,1
880,2,1
881,2,1
885,1,1
887,1,1
888,2,1
890,1,1
891,1,1
893,2,1
896,2,1
898,2,1
905,1,1
906,1,1
906,2,1
907,1,1
909,1,1
912,1,1
912,1.25,1
915,1,1
919,2,1
919 px,2 dppx,1
920,1,1
921,2,1
922,2,1
923,2,1
925,1,1
926,1,1
926,1.75,1
926,2,1
928,1.25,1
933,2,1
934,1,1
934,2,1
935,1,1
937,1.375,1
939,1,1
941,1,1
941,2,1
942,1,1
950,2,1
953,2,1
954,2,1
956,1.25,1
956,2,1
958,2,1
959,2,1
962,1.331,1
962,2,1
963,1,1
964,2,1
965,1,1
966,1,1
970,2,1
971,1,1
971,2,1
971,3,1
972,1,1
977,2,1
979,1,1
980,2,1
980,3,1
980,4,1
981,1,1
981,1.5,1
981,2,1
981,2.625,1
982,1,1
982,2,1
986,1,1
986,1.25,1
989,2,1
990,2,1
994,2,1
